mandate_id,politician_id
67615,78869
67422,175585
63660,175520
63655,79255
63290,175752
63197,175942
62905,122121
62904,147459
61989,78922
60644,175432
60641,146135
60639,180762
60638,145961
60635,175589
60633,175477
60632,145886
60631,145889
60630,79073
60624,136239
60622,79254
60617,79095
60616,170200
60178,118231
60126,146323
58167,175827
58166,165158
58127,145860
58124,175420
57246,179603
57240,175390
57091,146806
56410,158872
56408,147377
56401,79415
54422,175334
54380,175709
54378,78863
54377,78936
54370,138540
54369,79011
54138,146018
54137,79000
54136,79097
54135,175594
54134,79090
54133,175877
54132,125186
54131,79149
54130,79332
54129,79023
54128,79333
54127,175458
54126,79065
54125,139064
54124,108761
54123,175774
54122,175696
54121,146028
54120,150296
54119,79275
54118,122063
54117,78886
54116,145783
54115,120819
54114,135302
54113,145984
54112,175428
54110,122880
54109,134400
54108,79217
54107,175488
54106,175401
54105,79091
54104,29199
54103,175923
54102,78882
54101,173148
54100,175596
54099,175851
54098,176316
54097,79125
54096,147321
54095,150295
54094,175542
54093,175557
54092,78819
54091,120104
54090,139271
54089,175778
54088,118250
54087,151468
54086,122157
54084,130900
54083,79362
54082,78818
54081,108605
54080,108738
54079,79444
54078,177578
54077,145893
54076,175873
54075,78953
54074,79203
54073,78919
54072,79468
54071,79047
54070,79067
54068,145903
54067,79069
54066,79329
54065,145901
54064,175580
54063,78988
54062,145899
54061,32337
54060,79103
54059,79327
54058,67018
54057,66475
54056,175423
54055,175398
54054,79268
54053,175503
54052,175405
54051,139062
54050,146775
54049,79299
54048,139019
54047,147569
54046,145747
54045,121673
54044,147218
54043,66285
54042,145742
54041,30002
54040,175745
54039,146348
54038,130489
54037,121536
54036,146352
54035,137432
54034,146325
54033,137163
54032,146329
54031,118538
54030,146326
54029,119145
54028,118195
54027,120155
54026,118987
54023,119742
54022,175461
54021,175515
54020,121492
54019,175516
54018,146817
54017,175490
54016,78910
54015,79301
54014,175445
54013,130158
54012,79111
54011,175406
54010,175476
54009,79421
54008,79027
54007,78913
54006,79349
54005,79326
54004,131019
54003,79272
54002,79070
54001,145876
54000,130574
53999,145877
53998,145873
53997,175836
53996,78958
53995,130691
53994,66273
53993,66565
53992,79471
53991,66002
53990,66005
53989,121017
53987,122336
53986,79454
53985,123546
53984,123532
53983,123559
53982,165049
53981,79123
53980,145862
53979,138463
53978,79477
53976,146867
53975,79465
53974,145896
53973,175888
53972,79062
53971,79480
53970,118138
53969,79397
53968,108783
53967,78867
53966,79378
53965,175867
53963,175892
53961,175543
53960,175863
53959,79226
53958,79336
53957,165004
53956,78805
53955,175436
53954,79429
53953,78817
53952,175876
53951,175679
53950,79246
53949,28896
53948,78939
53947,79389
53945,79343
53944,79102
53943,78976
53942,133683
53941,175826
53940,79214
53939,79404
53938,79295
53937,79192
53936,175880
53935,79370
53934,145904
53933,142259
53931,78810
53930,78904
53929,79369
53928,78812
53927,78831
53926,175872
53925,120442
53924,142212
53923,78974
53922,79108
53921,79412
53920,79068
53919,145902
53918,79146
53917,79427
53916,145898
53915,79274
53914,79194
53913,79134
53912,78864
53911,79481
53910,175471
53909,78797
53908,175412
53907,78847
53906,175416
53905,110102
53904,175512
53903,78836
53902,146835
53901,175870
53900,145890
53899,79317
53897,170287
53896,121837
53895,79014
53894,150299
53893,175435
53892,145784
53891,79344
53890,79135
53889,78792
53888,175393
53887,145888
53886,175472
53885,175403
53884,145885
53883,175441
53881,78914
53880,146824
53879,79237
53878,78840
53877,78881
53876,175425
53875,79036
53874,78884
53873,79376
53872,79042
53870,146823
53869,78793
53868,176762
53867,31274
53866,165157
53865,79483
53864,175907
53863,30936
53862,175869
53861,175967
53860,145755
53859,145754
53858,175902
53857,175916
53856,146117
53855,118790
53854,168306
53853,145878
53852,175894
53851,78855
53850,118559
53849,145879
53848,78960
53847,78859
53846,79077
53845,175443
53844,79118
53843,79018
53842,175404
53841,175505
53840,130418
53839,79080
53838,78999
53837,146813
53836,79434
53835,130301
53834,79240
53833,79249
53832,145874
53831,175831
53830,79359
53829,78993
53828,136824
53827,175407
53826,78998
53825,79322
53824,79313
53823,175491
53822,78938
53821,78834
53820,79455
53819,175438
53817,145872
53816,175871
53815,79307
53814,79227
53813,78870
53812,79064
53811,79277
53810,79446
53809,175862
53808,147327
53807,146804
53806,79215
53805,145871
53804,145870
53803,79043
53802,78916
53801,175599
53800,78838
53799,145948
53798,175489
53797,78825
53796,79242
53795,79071
53794,79106
53793,146801
53791,78850
53790,117510
53789,79334
53788,117431
53787,175431
53786,175456
53785,117519
53784,123288
53783,175433
53782,79346
53781,117547
53780,164996
53779,152771
53778,78979
53777,79409
53776,145732
53775,145867
53774,175467
53773,79433
53772,146793
53771,175434
53770,146792
53769,175464
53768,175469
53767,133049
53766,66924
53765,175496
53764,31119
53763,176737
53762,78902
53761,175514
53760,140944
53759,29176
53757,136025
53755,136381
53754,149682
53753,78926
53752,79133
53751,29441
53750,79316
53749,79100
53748,175485
53746,175389
53745,146784
53744,175465
53742,175437
53741,78996
53740,79241
53739,79141
53738,79239
53737,145863
53736,78981
53735,79345
53734,175415
53733,79127
53732,79066
53731,146780
53730,79418
53729,79032
53728,66491
53727,175424
53726,175447
53725,175453
53724,175486
53723,108661
53722,108563
53721,108427
53720,145839
53719,108924
53718,29476
53717,145844
53716,108754
53714,145835
53713,145840
53712,108379
53711,175793
53710,175759
53709,146416
53708,165654
53706,146425
53705,108620
53704,121876
53703,108832
53702,118359
53701,119147
53700,119079
53699,120169
53697,146043
53696,175649
53695,175626
53693,146042
53692,164990
53691,79364
53690,146027
53689,79405
53688,79117
53687,29534
53685,78878
53683,108581
53682,175457
53681,175419
53680,79266
53679,175521
53678,175519
53677,121602
53676,79474
53675,121799
53674,79252
53673,79416
53672,146856
53671,79356
53670,146860
53669,79390
53668,79140
53667,79053
53666,79001
53665,108960
53664,79387
53663,120429
53662,78888
53659,141210
53658,146166
53657,79385
53656,79353
53655,175610
53654,146013
53653,175584
53652,158733
53651,146020
53650,133673
53649,120205
53648,178140
53647,121977
53646,120254
53645,118494
53642,79408
53641,79294
53640,79041
53639,175781
53638,134283
53637,175760
53636,146407
53635,146406
53634,142152
53633,142264
53632,141981
53631,119361
53629,146388
53628,134049
53627,134052
53626,141323
53625,175922
53624,145833
53623,145808
53622,145830
53621,145806
53620,145803
53619,145823
53617,121997
53615,145817
53614,175439
53613,175410
53612,146852
53611,175409
53610,146847
53609,78991
53608,175522
53607,78883
53606,146838
53605,79411
53604,121738
53603,79026
53601,78970
53600,141311
53599,79320
