politician_id,job_title,job_title_extra,organization,income_level,income,interval,created,category,topics
142259,Mitglied des Aufsichtsrates,Einkommen im Jahr 2025,Sozialnetzwerk Arche e.V.,4,16387.0,,1773389304,29230,"Gesellschaftspolitik, soziale Gruppen"
145984,"Vizepräsident, ehrenamtlich (ab 27.02.2026)",,Südosteuropa-Gesellschaft e.V.,,,,1773313457,29230,Außenpolitik und internationale Beziehungen|Europapolitik und Europäische Union
146867,Mitglied der Evaluierungskommission für die Vorbereitung einer Entscheidung über den deutschen Bewerber um Olympische und Paralympische Spiele (ab 02.02.2026),,Deutscher Olympischer Sportbund e.V.,,,,1773313120,29230,"Sport, Freizeit und Tourismus|Sport"
175512,Mitglied des Verwaltungsrates,Einkommen im Jahr 2025,Kreditanstalt für Wiederaufbau (KfW),1,2898.0,,1773312278,29229,"Finanzen|Öffentliche Finanzen, Steuern und Abgaben|Wirtschaft"
79353,Mitglied des Kuratoriums (ab 18.11.2025),,Stiftung Lesen,,,,1773149583,29230,Bildung und Erziehung|Kultur
133683,Rechtsanwältin,Mandate 21. Wahlperiode,Rechtsanwältin - freiberuflich,,,,1773149191,29647,Recht
146806,Beratender Regionalleiter West,Einkommen ab 01.02.2026,VDE Verband der Elektrotechnik Elektronik Informationstechnik e.V.,1,3009.4,1,1773149091,29647,"Wirtschaft|Medien, Kommunikation und Informationstechnik"
175836,Mitglied des Aufsichtsrates (ab 01.01.2026),,Rhein-Maas Klinikum GmbH,1,2400.0,2,1773148743,29228,Gesundheit
175464,Stellv. Mitglied des Werksausschusses (ab 25.02.2026),,Sportstättenbetrieb der Stadt Cottbus,,,,1773049329,29228,"Sport, Freizeit und Tourismus"
78916,"Vorsitzende, ehrenamtlich (ab 17.11.2025)",,Förderverein für die psychosoziale Krebsberatung im Caritasverband Rhein-Sieg e.V.,,,,1773047929,29230,"Gesundheit|Gesellschaftspolitik, soziale Gruppen"
175416,Mitglied der Regionalvertretung,,Planungsgemeinschaft Rheinhessen-Nahe,,,,1772784842,29229,"Raumordnung, Bau- und Wohnungswesen|Staat und Verwaltung"
145888,Mitglied des Aufsichtsrates (ab 01.03.2026),,Deutsche Bahn AG,,,,1772621720,29228,Verkehr
175610,"Mitglied des Präsidiums, ehrenamtlich (ab 23.09.2025)",,Förderkreis Deutsches Heer e.V. (FKH),,,,1772620699,29230,Verteidigung
79108,"Stellv. Mitglied des Verwaltungsrates, ehrenamtlich (ab 11.02.2026)",,Bundesanstalt für Finanzdienstleistungsaufsicht (BaFin),,,,1772617906,29229,"Öffentliche Finanzen, Steuern und Abgaben|Staat und Verwaltung"
79108,Mitglied des Aufsichtsrates (ab 17.11.2025),,DB InfraGO AG (vormals DB Netz AG),,642.0,1,1772617616,29228,Verkehr|digitale Infrastruktur
79214,Mitglied des Verwaltungsrates (bis 15.05.2025),Einkommen im Jahr 2026,KfW Bankengruppe,1,1917.0,,1772616736,29229,Finanzen
79214,Mitglied des Beirates (ab 10.12.2025),,Deutsche Flugsicherung GmbH,,,,1772616577,29228,Verkehr
79214,Vorsitzender des Beirates (ab 19.02.2026),,Deutsche Flugsicherung GmbH,,,,1772616511,29228,Verkehr
118790,Mitglied des Stiftungsrates (ab 10.09.2025),,Deutsche Härtefallstiftung,,,,1772446126,29230,Soziale Sicherung
118790,Mitglied des Stadtrates,Einkommen im Jahr 2025,Stadt Leipzig,,919.5,,1772446055,29229,Staat und Verwaltung
79090,"Mitglied des Kuratoriums, von Amts wegen (ab 25.07.2025)",,Deutsche Stiftung für internationale rechtliche Zusammenarbeit e.V. (IRZ),,,,1772444264,29230,Außenpolitik und internationale Beziehungen|Außenwirtschaft|Recht
79327,"Mitglied des Kuratoriums, ehrenamtlich (ab 01.07.2025)",,Helmut und Loki Schmidt-Stiftung,,,,1772183127,29230,Kultur
79327,Mitglied des Beirates (ab 15.09.2025),,"1014 Inc., New York",,,,1772182889,29228,Kultur
146043,Professorin,Einkommen im Jahr 2025,Hochschule Kempten,1,1536.89,,1771941445,29647,Bildung und Erziehung
146043,Professorin,Einkommen ab 01.12.2025,Hochschule Kempten,1,1983.17,1,1771941366,29647,Bildung und Erziehung
79334,Vortragstätigkeiten - Gespräch mit Axel Hacke,Einkommen im Jahr 2025,Tränenpalast Management GmbH,1,2000.0,,1771848304,29647,Kultur
79334,Vortragstätigkeiten - Gespräch mit Marc-Uwe Kling,Einkommen im Jahr 2025,Tränenpalast Management GmbH,1,2000.0,,1771848269,29647,Kultur
79334,Vortragstätigkeiten - Gespräch zum Thema „Blick auf die deutsche Wirtschaft und der globale Vergleich“,Einkommen im Jahr 2025,Synsero Expert GmbH,2,7000.0,,1771848020,29647,Wirtschaft
79334,Vortragstätigkeiten - Buchvorstellung mit Gespräch mit Hans-Dieter Schütt in Dresden,Einkommen im Jahr 2025,kulturbotschafter EVENTS GbR,2,4077.57,,1771847823,29647,Kultur
79334,Vortragstätigkeiten - Buchvorstellung mit Gespräch mit Hans-Dieter Schütt in Ludwigsfelde,Einkommen im Jahr 2025,kulturbotschafter EVENTS GbR,1,2458.32,,1771847758,29647,Kultur
79334,Vortragstätigkeiten - Gespräch mit Hans-Dieter Schütt auf Hiddensee,Einkommen im Jahr 2025,Hiddenseer Hafen- und Kurbetrieb,1,1664.0,,1771847608,29647,Kultur
79334,Vortragstätigkeit - Vortrag mit Diskussion bei der Veranstaltung „Investmentstrategie 2026 - Europa Quo Vadis?“ des Bankhaus Metzler in Frankfurt am Main,Einkommen im Jahr 2025,Celebrity Speakers Limited,3,8000.0,,1771847463,29647,Medien
79334,Vortragstätigkeiten - Moderation mit Margot Käßmann in Tübingen,Einkommen im Jahr 2025,ART 28 GmbH & Co. KG,1,2000.0,,1771847230,29647,Kultur
79234,"Mitglied des Rundfunkrates, von Amts wegen",Einkommen ab 01.01.2026,Deutsche Welle,,546.73,1,1771846551,29229,"Medien, Kommunikation und Informationstechnik|Medien"
138463,Mitglied des Verwaltungsrates,Einkommen im Jahr 2025,Kreissparkasse Saarpfalz,,990.0,,1771846301,29229,"Öffentliche Finanzen, Steuern und Abgaben|Finanzen|Wirtschaft"
138463,Mitglied des Verwaltungsrates,,Kreissparkasse Saarpfalz,,250.0,1,1771846236,29229,"Öffentliche Finanzen, Steuern und Abgaben|Finanzen|Wirtschaft"
145984,"Vorsitzender des Unterausschusses Internationale Ordnung, Vereinte Nationen und internationale Organisationen, von Amts wegen (ab 04.12.2025)",,Deutsche UNESCO-Kommission e.V.,,,,1771845619,29230,Kultur
145984,"Mitglied des Aufsichtsrates, ehrenamtlich (ab 15.10.2025)",,Zentrum für Internationale Friedenseinsätze gemeinnützige GmbH (ZIF),,,,1771845580,29228,Verteidigung|Außenpolitik und internationale Beziehungen
146793,"Mitglied des Rates der Agora Agrar, ehrenamtlich (ab 01.03.2026)",,Agora Think Tanks gemeinnützige GmbH,,,,1771845032,29228,"Wissenschaft, Forschung und Technologie"
