fraktion,redner_id,vorname,nachname,anzahl_reden,wortanzahl_gesamt
AfD,11004678,Stephan,Brandner,69,30305
AfD,11004731,Kay,Gottschalk,25,19326
AfD,11004721,Markus,Frohnmaier,29,15579
AfD,11004695,Tino,Chrupalla,10,15439
AfD,11004711,Michael,Espendiller,18,14637
AfD,11004933,Wolfgang,Wiehle,23,13715
AfD,11004930,Alice,Weidel,10,13257
AfD,11004669,Marc,Bernhard,29,13249
AfD,11004892,Martin,Sichert,25,11809
AfD,11004722,Götz,Frömming,26,11808
AfD,11004873,Ulrike,Schielke-Ziesing,13,11616
AfD,11005561,Ruben,Rupp,16,10995
AfD,11004905,Beatrix,von Storch,26,10414
AfD,11004698,Gottfried,Curio,17,9988
AfD,11004662,Bernd,Baumann,16,9908
AfD,11005521,Sebastian,Maack,19,9529
AfD,11005613,Alexander,Wolf,16,9261
AfD,11005203,Bernd,Schattner,15,9232
AfD,11004778,Stefan,Keuter,14,9232
AfD,11004792,Rainer,Kraft,36,9226
AfD,11004791,Steffen,Kotré,20,8996
AfD,11005468,Ronald,Gläser,13,8896
AfD,11005091,Gerrit,Huy,14,8609
AfD,11004752,Karsten,Hilse,19,8544
AfD,11004936,Christian,Wirth,13,8516
AfD,11005415,Birgit,Bessin,18,8412
AfD,11005479,Mirco,Hanker,12,8375
AfD,11004761,Leif-Erik,Holm,17,8346
AfD,11005549,Arne,Raue,14,8115
AfD,11004859,Martin,Reichardt,33,8043
AfD,11005516,Thomas,Ladzinski,9,7724
AfD,11005515,Anna,Rathert,16,7721
AfD,11004788,Jörn,König,17,7675
AfD,11004858,Stephan,Protschka,15,7518
AfD,11004749,Martin,Hess,14,7307
AfD,11004787,Enrico,Komning,14,7170
AfD,11005423,Peter,Bohnhof,13,6877
AfD,11005476,Ingo,Hahn,16,6832
AfD,11005408,Adam,Balten,24,6814
AfD,11005483,Nicole,Hess,15,6765
AfD,11004850,Tobias Matthias,Peterka,11,6720
AfD,11005418,Christoph,Birghan,17,6631
AfD,11004846,Gerold,Otten,11,6489
AfD,11005092,Steffen,Janich,14,6422
AfD,11005455,Jan,Feser,11,6369
AfD,11005615,Christian,Zaum,13,6326
AfD,11005529,Sergej,Minich,11,6215
AfD,11005618,Diana,Zimmer,13,6200
AfD,11005014,Carolin,Bachmann,16,6104
AfD,11005569,Julian,Schmidt,11,6053
AfD,11004753,Nicole,Höchst,13,6006
AfD,11005100,Michael,Kaufmann,13,5965
AfD,11005456,Thomas,Fetsch,13,5919
AfD,11005099,Malte,Kaufmann,16,5904
AfD,11005499,Maximilian,Kneller,19,5883
AfD,11004807,Rüdiger,Lucassen,17,5857
AfD,11005577,Georg,Schroeter,11,5667
AfD,11005442,Christian,Douglas,10,5601
AfD,11005621,Ulrich,von Zons,13,5504
AfD,11005520,Sascha,Lensing,11,5417
AfD,11005443,Christopher,Drößler,13,5411
AfD,11005586,Otto,Strauß,17,5410
AfD,11005462,Rainer,Galla,13,5400
AfD,11004767,Fabian,Jacobi,9,5296
AfD,11005446,Tobias,Ebenberger,12,5248
AfD,11005029,Gereon,Bollmann,10,5218
AfD,11005532,Stefan,Möller,8,5124
AfD,11004900,René,Springer,8,5031
AfD,11005404,Alexander,Arpaschi,11,4961
AfD,11005469,Hans-Jürgen,Goßner,16,4954
AfD,11005585,Thomas,Stephan,12,4934
AfD,11005458,Hauke,Finger,13,4931
AfD,11005031,Dirk,Brandes,12,4925
AfD,11004687,Marcus,Bühl,9,4771
AfD,11005607,Mathias,Weiser,10,4756
AfD,11005513,Manuel,Krauthausen,8,4715
AfD,11005572,Paul,Schmidt,17,4694
AfD,11005497,Rocco,Kever,12,4434
AfD,11005540,Andreas,Paul,11,4414
AfD,11005305,Rainer,Rothfuß,9,4322
AfD,11004674,Andreas,Bleck,9,4317
AfD,11005473,Rainer,Groß,8,4269
AfD,11005493,Robin,Jünger,7,4183
AfD,11005535,Iris,Nieland,12,3971
AfD,11005498,Kurt,Kleinschmidt,8,3888
AfD,11004836,Sebastian,Münzenmaier,5,3795
AfD,11005503,Jürgen,Koegel,6,3780
AfD,11005548,Marcel,Queckemeyer,9,3735
AfD,11004675,Peter,Boehringer,8,3693
AfD,11005419,Joachim,Bloch,10,3427
AfD,11005547,Kerstin,Przygodda,10,3425
AfD,11005564,Raimond,Scheirich,7,3418
AfD,11005523,Markus,Matzerath,7,3401
AfD,11005616,Daniel,Zerbin,9,3389
AfD,11004842,Jan Ralf,Nolte,5,3362
AfD,11005018,Christina,Baum,11,3327
AfD,11005478,Lars,Haise,11,3319
AfD,11005026,René,Bochmann,8,3120
AfD,11005429,Torben,Braga,5,3118
AfD,11005531,Reinhard,Mixl,7,3071
AfD,11005591,Robert,Teske,6,3034
AfD,11005528,Knuth,Meyer-Soltau,8,2996
AfD,11005576,Stefan,Schröder,7,2986
AfD,11004862,Martin Erwin,Renner,5,2887
AfD,11005608,Claudia,Weiss,7,2846
AfD,11004739,Jochen,Haug,6,2806
AfD,11005550,Christian,Reck,7,2756
AfD,11005619,Jörg,Zirwes,7,2714
AfD,11005210,Jan Wenzel,Schmidt,6,2673
AfD,11005066,Hannes,Gnauck,4,2643
AfD,11005079,Matthias,Helferich,8,2546
AfD,11005541,Denis,Pauli,7,2495
AfD,11005486,Olaf,Hilmer,6,2436
AfD,11005517,Pierre,Lamely,8,2359
AfD,11005578,Bernd,Schuhmann,7,2317
AfD,11005420,Michael,Blos,7,2255
AfD,11004743,Udo Theodor,Hemmelgarn,4,2224
AfD,11005596,Bastian,Treuheit,5,2176
AfD,11005042,Thomas,Dietz,4,2169
AfD,11005502,Heinrich,Koch,6,2155
AfD,11005509,Thomas,Korell,5,2141
AfD,11005566,Lars,Schieske,4,2140
AfD,11005496,Martina,Kempf,4,1991
AfD,11004714,Peter,Felser,4,1979
AfD,11004724,Alexander,Gauland,3,1853
AfD,11005609,Sven,Wendorf,4,1837
AfD,11005412,Carsten,Becker,4,1832
AfD,11005315,Manfred,Schiller,4,1800
AfD,11005526,Danny,Meiners,4,1760
AfD,11005512,Maximilian,Krah,2,1618
AfD,11005565,Volker,Scheurell,4,1600
AfD,11005522,Johann,Martel,5,1540
