fraktion,wort,tfidf,rang
AfD,afd-regierung,0.000142,1
AfD,links-grünen,0.000138,2
AfD,masseneinwanderung,9.7e-05,3
AfD,kernkraftwerk,8.6e-05,4
AfD,abgelehnt,8.4e-05,5
AfD,landsleute,8e-05,6
AfD,sonderschuld,7.6e-05,7
AfD,klimawahn,7.5e-05,8
AfD,kernenergie,7.5e-05,9
AfD,links-grüne,6.6e-05,10
AfD,altpartei,6.5e-05,11
AfD,merz-regierung,6.4e-05,12
AfD,weltdümmst,6.3e-05,13
AfD,planwirtschaftlich,6.2e-05,14
AfD,kernkraft,6e-05,15
AfD,klimasekte,5.8e-05,16
AfD,ideologe,5.7e-05,17
AfD,energiesteuer,5.4e-05,18
AfD,asylante,5.4e-05,19
AfD,klimahysterie,5.4e-05,20
AfD,schuldenkoalition,5.4e-05,21
AfD,deindustrialisieren,5.4e-05,22
AfD,klimarettung,5.4e-05,23
AfD,steuergeldverschwendung,5e-05,24
AfD,dämmwahn,5e-05,25
AfD,ökosozialistisch,4.8e-05,26
AfD,klimaideologie,4.8e-05,27
AfD,parallelgesellschaft,4.8e-05,28
AfD,woken,4.8e-05,29
AfD,sozialismus,4.7e-05,30
AfD,links-grüner,4.6e-05,31
AfD,merkel-regierung,4.6e-05,32
AfD,alimentierung,4.6e-05,33
AfD,wehrmaterial,4.6e-05,34
AfD,abgewählt,4.5e-05,35
AfD,schuldenorgie,4.5e-05,36
AfD,marktwirtschaftlich,4.5e-05,37
AfD,sanktionspolitik,4.3e-05,38
AfD,sozialist,4.2e-05,39
AfD,sozialistisch,4.2e-05,40
AfD,iraker,4.2e-05,41
AfD,flatterstrom,4.2e-05,42
AfD,migrationskrise,4.2e-05,43
AfD,gundremmingen,4.2e-05,44
AfD,ttpa,4.2e-05,45
AfD,weltfremd,4e-05,46
AfD,bürokrat,4e-05,47
AfD,asylmigrant,4e-05,48
AfD,islam,4e-05,49
AfD,links-grün,3.8e-05,50
AfD,asylbewerber,3.8e-05,51
AfD,derya,3.8e-05,52
AfD,türk-nachbaur,3.8e-05,53
