politician_id,name,party,x,y
184332,Mayra Vriesema,BÜNDNIS 90/­DIE GRÜNEN,7.8322735,6.103831
183275,Lisa Schubert,Die Linke,10.251822,9.642891
182187,Andrea Lübcke,BÜNDNIS 90/­DIE GRÜNEN,8.349967,6.2015233
182836,Reza Asghari,CDU/CSU,0.41706032,-6.8554897
79014,Carsten Schneider,SPD,0.18101937,-6.095245
175896,Alexis Giersch,AfD,-10.741653,6.844408
79097,Aydan Özoğuz,SPD,0.33428746,-6.2606153
78834,Mahmut Özdemir,SPD,0.33966208,-6.23602
66563,Cansu Özdemir,Die Linke,10.969701,10.048306
175403,Armand Zorn,SPD,0.28578445,-5.9797907
178590,Ulrich von Zons,AfD,-9.795703,6.5593486
182827,Vanessa-Kim Zobel,CDU/CSU,0.33900422,-5.9670978
183503,Jörg Zirwes,AfD,-9.850522,6.499141
175876,Nicolas Zippelius,CDU/CSU,0.030160517,-2.7482047
175914,Diana Zimmer,AfD,-9.942899,6.554363
78902,Stefan Zierke,SPD,0.34188202,-5.943173
145878,Paul Ziemiak,CDU/CSU,0.35644123,-5.770672
145732,Kay-Uwe Ziegler,AfD,-10.48326,8.033032
78904,Emmi Zeulner,CDU/CSU,0.28943306,-5.997055
183257,Anne Zerr,Die Linke,9.886039,9.576695
178558,Daniel Zerbin,AfD,-9.650373,6.6900387
178644,Christian Zaum,AfD,-9.584993,6.4659886
130692,Serdar Yüksel,SPD,0.2783235,-5.9184318
149653,Mareike Lotte Wulf,CDU/CSU,0.29595873,-6.1008787
66277,Alexander Wolf,AfD,-9.760591,6.504248
135302,Janine Wissler,Die Linke,10.823543,9.978058
133683,Mechthilde Wittmann,CDU/CSU,0.4555285,-5.8471565
150296,Christian Wirth,AfD,-9.677882,6.487518
146013,Tina Winklmann,BÜNDNIS 90/­DIE GRÜNEN,8.203539,5.5751386
142259,Tobias Winkler,CDU/CSU,0.4170476,-5.824783
78916,Elisabeth Winkelmeier-Becker,CDU/CSU,0.34121758,-6.0253077
182855,Johannes Winkel,CDU/CSU,-0.29160878,-2.227017
78914,Klaus-Peter Willsch,CDU/CSU,0.3180737,-6.033521
182209,Christin Willnat,Die Linke,11.438834,7.686114
78913,Dirk Wiese,SPD,0.34441835,-5.933624
175862,Klaus Wiener,CDU/CSU,0.38327613,-6.022813
