politician_id,name,party,x,y
184332,Mayra Vriesema,BÜNDNIS 90/­DIE GRÜNEN,18.491652,7.277217
183275,Lisa Schubert,Die Linke,7.3212767,16.715712
182187,Andrea Lübcke,BÜNDNIS 90/­DIE GRÜNEN,18.03218,7.2737365
182836,Reza Asghari,CDU/CSU,-7.9525776,4.298442
79014,Carsten Schneider,SPD,1.4521856,4.0183315
175896,Alexis Giersch,AfD,9.009363,-7.108674
79097,Aydan Özoğuz,SPD,-4.6594353,4.3583355
78834,Mahmut Özdemir,SPD,-5.19814,4.0526395
66563,Cansu Özdemir,Die Linke,7.740886,17.31132
175403,Armand Zorn,SPD,0.82883024,3.5383859
178590,Ulrich von Zons,AfD,8.261902,-4.205221
182827,Vanessa-Kim Zobel,CDU/CSU,1.2291387,3.5418167
183503,Jörg Zirwes,AfD,8.175718,-3.713398
175876,Nicolas Zippelius,CDU/CSU,-0.7406835,8.0134115
175914,Diana Zimmer,AfD,8.136414,-3.6989264
78902,Stefan Zierke,SPD,1.1237413,3.4744992
145878,Paul Ziemiak,CDU/CSU,1.851795,3.7868197
145732,Kay-Uwe Ziegler,AfD,-5.184811,-10.894558
78904,Emmi Zeulner,CDU/CSU,1.7507142,3.5334303
183257,Anne Zerr,Die Linke,6.9100075,16.092854
178558,Daniel Zerbin,AfD,8.312979,-4.0917788
178644,Christian Zaum,AfD,8.444465,-3.8895657
130692,Serdar Yüksel,SPD,0.7328452,3.6149173
149653,Mareike Lotte Wulf,CDU/CSU,0.8651342,3.8111186
66277,Alexander Wolf,AfD,8.563222,-4.272732
135302,Janine Wissler,Die Linke,7.3489265,16.746275
133683,Mechthilde Wittmann,CDU/CSU,0.11799276,4.195297
150296,Christian Wirth,AfD,8.514723,-4.1998615
146013,Tina Winklmann,BÜNDNIS 90/­DIE GRÜNEN,18.034342,7.5302663
142259,Tobias Winkler,CDU/CSU,0.38043252,4.485721
78916,Elisabeth Winkelmeier-Becker,CDU/CSU,-0.23887719,3.646543
182855,Johannes Winkel,CDU/CSU,-0.7432247,8.015328
78914,Klaus-Peter Willsch,CDU/CSU,0.23313718,3.7481604
182209,Christin Willnat,Die Linke,6.8770723,16.058853
78913,Dirk Wiese,SPD,0.29440355,3.583896
175862,Klaus Wiener,CDU/CSU,1.362615,3.3278244
145806,Wolfgang Wiehle,AfD,8.383073,-4.264368
175895,Johannes Wiegelmann,CDU/CSU,-0.7216595,7.9905796
78817,Kai Whittaker,CDU/CSU,1.7628886,4.03673
175968,Sven Wendorf,AfD,8.050102,-3.5019307
175867,Maria-Lena Weiss,CDU/CSU,1.8432109,3.9300718
175015,Claudia Weiss,AfD,7.4764853,-2.6883655
78919,Anja Weisgerber,CDU/CSU,-4.4526324,3.2737806
175947,Mathias Weiser,AfD,8.370912,-4.023584
108379,Alice Weidel,AfD,8.548786,-3.8881903
175409,Carmen Wegge,SPD,1.1175637,3.7608445
78805,Nina Warken,CDU/CSU,0.53924537,4.1411905
165836,Daniel Walter,SPD,1.162158,4.066581
175464,Maja Wallstein,SPD,-7.4067516,5.0611577
182890,Siegfried Walch,CDU/CSU,0.108090326,3.6158404
175309,Sascha Wagner,Die Linke,6.905408,16.09435
175584,Johannes Wagner,BÜNDNIS 90/­DIE GRÜNEN,18.24915,7.570528
175410,Carolin Wagner,SPD,0.1322146,3.4869177
145969,Robin Wagener,BÜNDNIS 90/­DIE GRÜNEN,18.206852,7.64155
146020,Niklas Wagener,BÜNDNIS 90/­DIE GRÜNEN,18.32617,7.76601
78818,Johann Wadephul,CDU/CSU,0.8449632,4.4322786
78938,Dirk Vöpel,SPD,1.0134814,3.917506
146784,Marja-Liisa Völlers,SPD,1.3653122,3.311059
66002,Christoph de Vries,CDU/CSU,-7.6785126,3.8596365
183219,Sarah Vollath,Die Linke,7.447138,16.830114
