politician_id,name,party,occupation,year_of_birth,field_title,sex,education,x,y
145873,Michael Breilmann,CDU/CSU,Mitglied des Deutschen Bundestags,1983.0,,m,Jurist,4.006182,0.05590777
182901,Christoph Naser,CDU/CSU,Pfarrvikar,,,m,,4.4620476,-0.012697815
182899,Stefan Glaser,CDU/CSU,Business Development Manager,1990.0,,m,"Wirtschaftsrecht, LL.M.",4.227639,0.053748522
182972,David Mandrella,SPD,Lehrer,2001.0,,m,,5.4214673,0.05480829
184332,Mayra Vriesema,BÜNDNIS 90/­DIE GRÜNEN,,1999.0,,f,Politikwissenschaftlerin,-3.246029,6.8846116
183275,Lisa Schubert,Die Linke,Student*in Sozialwissenschaften,2002.0,,d,,-7.3363233,8.2326355
182187,Andrea Lübcke,BÜNDNIS 90/­DIE GRÜNEN,Wissenschaftsbasierte Politikberatung,1978.0,Dr.,f,Physikerin,-3.3154478,7.2241626
182836,Reza Asghari,CDU/CSU,Professor,1961.0,,m,Doktor der Wirtschaftswissenschaften,7.3727374,0.37066114
79014,Carsten Schneider,SPD,"MdB, Parlamentsgeschäftsführer im Bundestag",1976.0,,m,Bankkaufmann,6.915211,0.21230914
175896,Alexis Giersch,AfD,Kanalsteuerer a.D.,,,m,,-3.9838686,-8.728604
79097,Aydan Özoğuz,SPD,MdB,,,f,,7.116655,0.30530667
78834,Mahmut Özdemir,SPD,"Rechtsreferendar (beurlaubt), MdB",1987.0,,m,,7.0920315,0.34051186
66563,Cansu Özdemir,Die Linke,MdHB & Studentin,1988.0,,f,,-7.837079,8.78974
175403,Armand Zorn,SPD,MdB,1988.0,,m,"Politologe, Ökonom und Wirtschaftsjurist",6.865619,0.3146719
178590,Ulrich von Zons,AfD,Rechtsanwalt & Fraktionsmitarbeiter,1968.0,,m,Volljurist,-3.9783697,-8.078519
182827,Vanessa-Kim Zobel,CDU/CSU,Bankkauffrau,1988.0,,f,Wirtschaftsfachwirtin (IHK geprüft),6.8759103,0.31125262
